73,560
67,26.141390000000005,26.289117125000004
68,26.368662500000003,26.516389625000002
67,26.595935000000004,26.743662125000004
68,26.823207500000002,26.970934625
70,27.050480000000004,27.198207125000003
68,27.277752500000002,27.425479625000005
70,27.505025000000003,27.652752125000003
72,27.7322975,27.880024625000004
70,27.959570000000003,28.107297125000002
72,28.186842500000004,28.334569625000004
73,28.414115000000002,28.561842125000002
72,28.641387500000004,28.789114625000003
74,28.868660000000002,29.016387125
76,29.095932500000004,29.243659625000003
74,29.323205,29.470932125000004
76,29.550477500000003,29.698204625000002
77,29.777750000000005,29.925477125000004
76,30.005022500000003,30.152749625000002
77,30.232295000000004,30.380022125000004
79,30.459567500000002,30.607294625
80,30.686840000000004,30.834567125000003
79,30.9141125,31.061839625000005
77,31.141385000000003,31.289112125000003
65,31.368657500000005,31.516384625000004
67,31.595930000000003,31.743657125000002
68,31.823202500000004,31.970929625000004
67,32.050475000000006,32.198202125
68,32.277747500000004,32.42547462500001
70,32.50502,32.652747125000005
68,32.7322925,32.880019625
70,32.959565000000005,33.107292125
72,33.1868375,33.334564625000006
70,33.41411,33.561837125000004
72,33.641382500000006,33.789109625
73,33.868655000000004,34.01638212500001
72,34.0959275,34.243654625000005
74,34.3232,34.470927125
76,34.550472500000005,34.698199625
74,34.777745,34.925472125
76,35.0050175,35.152744625000004
77,35.232290000000006,35.380017125
76,35.459562500000004,35.60728962500001
77,35.686835,35.834562125000005
79,35.9141075,36.061834625
80,36.141380000000005,36.289107125
79,36.3686525,36.516379625
77,36.595925,36.743652125000004
84,36.823197500000006,36.970924625
86,37.050470000000004,37.19819712500001
88,37.2777425,37.425469625000005
89,37.505015,37.652742125
87,37.732287500000005,37.880014625
85,37.95956,38.107287125
84,38.1868325,38.334559625000004
83,38.414105000000006,38.561832125
84,38.641377500000004,38.78910462500001
82,38.86865,39.016377125000005
80,39.0959225,39.243649625
79,39.323195000000005,39.470922125
69,39.5504675,39.698194625
70,39.77774,39.925467125000004
72,40.00501250000001,40.152739625
75,40.232285000000005,40.38001212500001
73,40.4595575,40.607284625000005
72,40.68683,40.834557125
70,40.914102500000006,41.061829625
68,41.141375000000004,41.289102125
67,41.3686475,41.516374625000005
79,41.59592000000001,41.743647125
77,41.823192500000005,41.97091962500001
76,42.050465,42.198192125000006
82,42.2777375,42.425464625000004
84,42.50501,42.652737125
85,42.732282500000004,42.880009625
76,42.959555,43.107282125000005
74,43.18682750000001,43.334554625
72,43.414100000000005,43.56182712500001
64,43.6413725,43.789099625000006
65,43.868645,44.016372125000004
67,44.0959175,44.243644625
68,44.323190000000004,44.470917125
67,44.5504625,44.698189625000005
65,44.77773500000001,44.925462125
80,45.005007500000005,45.15273462500001
82,45.23228,45.380007125000006
84,45.4595525,45.607279625000004
82,45.686825,45.834552125
80,45.914097500000004,46.061824625
79,46.14137,46.289097125000005
77,46.36864250000001,46.9955358125
84,47.05046,47.74004333333333
76,47.80046,47.948187125000004
74,48.0277325,48.175459625
72,48.255005000000004,48.402732125
77,48.4822775,48.630004625
76,48.70955,48.857277125
74,48.9368225,49.084549625
79,49.164095,49.311822125
77,49.3913675,49.539094625000004
76,49.61864,49.766367125
80,49.845912500000004,49.993639625
79,50.073185,50.220912125
77,50.3004575,50.448184625
83,50.52773,50.675457125
84,50.7550025,50.902729625
86,50.982275,51.130002125000004
86,51.2095475,51.357274625
88,51.43682,51.584547125
89,51.6640925,51.811819625
89,51.891365,52.039092125
88,52.1186375,52.266364625
86,52.34591,52.493637125
88,52.5731825,52.720909625000004
86,52.800455,52.948182125
84,53.0277275,53.175454625
76,53.255,53.402727125
74,53.4822725,53.629999625
72,53.709545,53.857272125
77,53.936817500000004,54.084544625
76,54.16409,54.311817125000005
74,54.3913625,54.539089625
79,54.618635,54.766362125
77,54.8459075,54.993634625
76,55.07318,55.220907125000004
80,55.3004525,55.448179625
79,55.527725000000004,55.675452125
77,55.7549975,55.902724625000005
80,55.98227,56.129997125
82,56.2095425,56.357269625
84,56.436815,56.584542125
84,56.6640875,56.811814625
82,56.89136,57.039087125
80,57.118632500000004,57.266359625
80,57.345905,57.493632125000005
79,57.5731775,57.720904625
77,57.80045,57.948177125
76,58.0277225,58.175449625
74,58.254995,58.402722125
72,58.4822675,58.629994625
88,58.709540000000004,58.857267125
89,58.9368125,59.084539625000005
91,59.164085,59.311812125
91,59.3913575,59.539084625
89,59.61863,59.766357125
88,59.8459025,59.993629625
88,60.073175,60.220902125
86,60.300447500000004,60.448174625
84,60.52772,60.675447125000005
77,60.7549925,60.902719625
76,60.982265,61.129992125
74,61.2095375,61.357264625
89,61.43681,61.584537125
91,61.6640825,61.811809625
92,61.891355000000004,62.039082125
92,62.1186275,62.266354625000005
91,62.3459,62.493627125
89,62.5731725,62.720899625
89,62.800445,62.948172125
88,63.0277175,63.175444625
86,63.25499,63.402717125
79,63.482262500000004,63.629989625
77,63.709535,63.857262125000005
76,63.9368075,64.084534625
82,64.16408,64.311807125
84,64.3913525,64.539079625
85,64.61862500000001,64.766352125
80,64.8458975,64.993624625
79,65.07317,65.220897125
